Diameter_center(nm)	PDF_diameter
0.700	0.421721
0.779	0.000000
0.858	0.000000
0.937	0.000000
1.017	0.000000
1.096	0.000000
1.175	0.000000
1.254	0.000000
1.333	0.301600
1.413	0.000000
1.492	0.000000
1.571	0.000000
1.650	0.000000
1.729	0.000000
1.809	0.000000
1.888	0.000000
1.967	0.213612
2.046	0.000000
2.125	0.000000
2.205	0.000000
2.284	0.000000
2.363	0.000000
2.442	0.000000
2.521	0.000000
2.601	0.000000
2.680	0.164617
2.759	0.000000
2.838	0.000000
2.917	0.000000
2.997	0.000000
3.076	0.000000
3.155	0.000000
3.234	0.000000
3.314	0.250186
3.393	0.000000
3.472	0.000000
3.551	0.000000
3.630	0.000000
3.710	0.000000
3.789	0.000000
3.868	0.000000
3.947	0.075702
4.026	0.000000
4.106	0.000000
4.185	0.000000
4.264	0.000000
4.343	0.000000
4.422	0.000000
4.502	0.000000
4.581	0.000000
4.660	0.092611
4.739	0.000000
4.818	0.000000
4.898	0.000000
4.977	0.000000
5.056	0.000000
5.135	0.000000
5.215	0.000000
5.294	0.096928
5.373	0.000000
5.452	0.000000
5.531	0.000000
5.611	0.000000
5.690	0.000000
5.769	0.000000
5.848	0.000000
5.927	0.060297
6.007	0.000000
6.086	0.000000
6.165	0.000000
6.244	0.000000
6.323	0.000000
6.403	0.000000
6.482	0.000000
6.561	0.000000
6.640	0.186397
6.719	0.000000
6.799	0.000000
6.878	0.000000
6.957	0.000000
7.036	0.000000
7.116	0.000000
7.195	0.000000
7.274	0.052442
7.353	0.000000
7.432	0.000000
7.512	0.000000
7.591	0.000000
7.670	0.000000
7.749	0.000000
7.828	0.000000
7.908	0.116323
7.987	0.000000
8.066	0.000000
8.145	0.000000
8.224	0.000000
8.304	0.000000
8.383	0.000000
8.462	0.000000
8.541	10.592563

Weighted Mean Diameter: 7.683 nm
